"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/2026","388.95","383.95","391.30","382.00","0.02K","1.00%"
"04/17/2026","385.10","386.00","387.50","380.00","0.10K","-1.37%"
"04/16/2026","390.45","382.10","391.50","381.00","0.04K","-0.37%"
"04/15/2026","391.90","389.50","392.60","386.75","0.06K","0.54%"
"04/14/2026","389.80","389.00","392.00","383.05","0.04K","0.62%"
"04/13/2026","387.40","390.00","391.95","386.70","0.02K","-2.76%"
"04/10/2026","398.40","388.95","395.00","388.80","0.03K","2.09%"
"04/09/2026","390.25","390.00","392.00","383.15","0.03K","-0.75%"
"04/08/2026","393.20","384.00","392.90","384.00","0.06K","2.74%"
"04/07/2026","382.70","393.05","393.05","383.00","0.05K","-3.96%"
"04/06/2026","398.50","400.30","400.30","391.05","0.23K","0.89%"
"04/02/2026","395.00","402.00","402.00","395.00","0.06K","-0.58%"
"04/01/2026","397.30","395.65","403.00","392.00","0.07K","-0.19%"
"03/31/2026","398.05","397.00","398.55","396.50","0.09K","1.21%"
"03/30/2026","393.30","399.90","401.45","394.25","0.45K","-2.76%"
"03/28/2026","404.45","407.10","404.45","404.45","0.14K","0.00%"
"03/27/2026","404.45","407.10","408.85","402.95","0.14K","-1.18%"
"03/26/2026","409.30","414.00","414.00","406.95","0.05K","-2.00%"
"03/25/2026","417.65","418.00","420.95","413.20","0.05K","1.16%"
"03/24/2026","412.85","401.30","418.60","401.30","0.36K","1.93%"
"03/23/2026","405.05","405.05","405.05","405.05","","-0.45%"
"03/21/2026","406.90","392.00","406.90","406.90","0.02K","0.00%"
"03/20/2026","406.90","392.00","392.00","392.00","0.02K","3.08%"
"03/19/2026","394.75","394.75","394.75","394.75","","2.23%"
"03/18/2026","386.15","380.00","380.00","380.00","0.02K","-0.80%"
"03/17/2026","389.25","389.25","389.25","389.25","","1.49%"
"03/16/2026","383.55","383.55","383.55","383.55","","2.62%"
"03/13/2026","373.75","380.00","380.00","380.00","0.02K","-2.13%"
"03/12/2026","381.90","381.90","381.90","381.90","","1.58%"
"03/11/2026","375.95","380.00","380.00","380.00","0.02K","-2.92%"
"03/10/2026","387.25","387.25","387.25","387.25","","-0.41%"
"03/09/2026","388.85","386.00","386.00","386.00","0.02K","1.43%"
"03/07/2026","383.35","380.00","383.35","383.35","0.00K","0.00%"
"03/06/2026","383.35","380.00","380.00","380.00","0.00K","1.62%"
"03/05/2026","377.25","377.25","377.25","377.25","","0.82%"
"03/04/2026","374.20","374.20","374.20","374.20","","1.34%"
"03/03/2026","369.25","374.75","374.75","374.75","0.01K","-0.50%"
"03/02/2026","371.10","371.10","371.10","371.10","","1.35%"
"02/28/2026","366.15","364.90","366.15","366.15","0.06K","0.00%"
"02/27/2026","366.15","364.90","371.05","362.50","0.06K","-0.50%"
"02/26/2026","368.00","365.00","372.00","364.00","0.16K","-1.12%"
"02/25/2026","372.15","366.00","374.65","365.00","0.37K","-0.89%"
"02/24/2026","375.50","367.50","376.00","367.05","0.11K","2.22%"
"02/23/2026","367.35","367.00","369.95","365.50","0.08K","-1.55%"
"02/20/2026","373.15","381.90","381.90","369.30","0.08K","0.32%"
"02/19/2026","371.95","374.50","380.00","364.95","0.22K","-0.51%"
"02/18/2026","373.85","384.25","386.00","372.00","0.06K","-3.80%"
"02/13/2026","388.60","395.00","395.95","382.15","0.17K","0.79%"
"02/12/2026","385.55","387.00","396.00","380.60","0.21K","0.71%"
"02/11/2026","382.85","383.40","387.70","378.25","0.39K","0.67%"
"02/10/2026","380.30","384.75","390.75","378.40","0.50K","-1.50%"
"02/09/2026","386.10","379.00","391.70","373.50","0.78K","1.98%"
"02/06/2026","378.60","401.70","401.70","376.05","0.70K","-5.30%"
"02/05/2026","399.80","402.00","404.95","395.00","0.66K","-0.47%"
"02/04/2026","401.70","410.05","416.00","400.10","0.61K","-1.71%"
"02/03/2026","408.70","427.40","427.40","408.15","0.83K","-4.36%"
"02/02/2026","427.35","425.80","434.25","425.05","0.30K","-0.04%"
"01/30/2026","427.50","432.80","436.00","425.80","0.27K","-1.81%"
"01/29/2026","435.40","433.70","436.60","430.45","0.43K","0.48%"
"01/28/2026","433.30","448.05","448.05","432.05","0.53K","-3.16%"
"01/27/2026","447.45","436.95","450.00","436.95","0.54K","2.64%"
"01/26/2026","435.95","431.80","440.00","431.80","0.37K","0.84%"
"01/23/2026","432.30","426.85","436.65","425.00","0.44K","1.53%"
"01/22/2026","425.80","425.50","428.00","422.40","0.38K","0.21%"
"01/21/2026","424.90","421.50","425.75","417.15","0.58K","0.53%"
"01/20/2026","422.65","429.15","429.15","421.05","0.72K","-1.48%"
"01/19/2026","429.00","428.15","429.00","428.00","0.07K","-0.60%"
"01/16/2026","431.60","435.00","436.25","429.30","0.16K","-0.98%"
"01/15/2026","435.85","434.00","436.90","429.00","0.36K","0.76%"
"01/14/2026","432.55","437.00","440.65","431.00","0.33K","-1.03%"
"01/13/2026","437.05","434.50","443.00","432.55","0.46K","0.87%"
"01/12/2026","433.30","437.30","437.30","428.50","0.53K","-0.06%"
"01/09/2026","433.55","447.60","449.00","432.00","0.64K","-3.33%"
"01/08/2026","448.50","450.95","458.35","446.90","0.31K","-0.34%"
"01/07/2026","450.05","444.40","456.95","444.40","0.73K","0.87%"
"01/06/2026","446.15","430.00","446.70","429.25","0.83K","3.74%"
"01/05/2026","430.05","424.05","432.70","421.70","0.31K","-0.15%"
"01/02/2026","430.70","428.00","431.00","420.95","0.28K","1.31%"
"12/30/2025","425.15","428.95","439.00","424.25","0.37K","-0.44%"
"12/29/2025","427.05","425.50","429.50","423.20","0.15K","0.61%"
"12/26/2025","424.45","420.10","425.50","412.30","0.14K","0.44%"
"12/23/2025","422.60","423.50","430.00","421.10","0.20K","-0.06%"
"12/22/2025","422.85","406.50","425.05","406.50","0.26K","1.95%"
"12/19/2025","414.75","418.00","420.50","413.75","0.26K","9.03%"
"12/18/2025","380.40","380.40","380.40","380.40","","-2.20%"
"12/17/2025","388.95","436.10","436.25","432.50","0.05K","-8.53%"
"12/16/2025","425.20","435.00","435.00","435.00","0.02K","-2.54%"
"12/15/2025","436.30","436.30","436.30","436.30","","-2.80%"
"12/12/2025","448.85","450.00","450.00","450.00","0.03K","-2.37%"
"12/11/2025","459.75","459.75","459.75","459.75","","1.36%"
"12/10/2025","453.60","453.60","453.60","453.60","","1.97%"
"12/09/2025","444.85","451.00","451.00","451.00","0.01K","-0.55%"
"12/08/2025","447.30","447.30","447.30","447.30","","-2.93%"
"12/06/2025","460.80","460.00","460.80","460.80","0.01K","0.00%"
"12/05/2025","460.80","460.00","460.00","460.00","0.01K","-1.61%"
"12/04/2025","468.35","460.00","465.00","460.00","0.01K","2.37%"
"12/03/2025","457.50","457.50","457.50","457.50","","-0.52%"
"12/02/2025","459.90","460.00","460.00","460.00","0.03K","-1.68%"
"12/01/2025","467.75","457.60","465.00","457.60","0.01K","-0.43%"
"11/28/2025","469.75","470.50","472.00","467.00","0.11K","0.43%"
"11/27/2025","467.75","470.45","471.00","470.45","0.08K","0.00%"
"11/26/2025","467.75","470.00","472.80","467.95","0.16K","-1.26%"
"11/25/2025","473.70","467.20","470.30","465.25","0.03K","1.93%"
"11/24/2025","464.75","463.50","467.95","458.05","0.05K","0.48%"
"11/22/2025","462.55","461.40","462.55","462.55","0.11K","0.00%"
"11/21/2025","462.55","461.40","463.45","449.55","0.11K","-3.12%"
"11/19/2025","477.45","480.35","489.95","475.35","0.12K","-1.49%"
"11/18/2025","484.65","480.50","493.00","480.00","0.22K","0.95%"
"11/17/2025","480.10","481.35","487.55","473.00","0.17K","0.26%"
"11/14/2025","478.85","478.50","481.35","467.00","0.41K","-0.19%"
"11/13/2025","479.75","482.50","484.25","478.05","0.26K","-1.02%"
"11/12/2025","484.70","508.20","508.20","480.55","0.67K","-4.34%"
"11/11/2025","506.70","505.80","509.90","498.65","0.46K","0.34%"
"11/10/2025","505.00","500.00","506.00","496.30","0.79K","1.53%"
"11/07/2025","497.40","489.00","500.00","487.00","0.51K","2.30%"
"11/06/2025","486.20","499.25","499.25","485.00","0.66K","-2.41%"
"11/05/2025","498.20","489.70","502.95","487.80","0.46K","1.75%"
"11/04/2025","489.65","489.50","500.05","486.55","0.96K","0.09%"
"11/03/2025","489.20","475.35","492.30","474.90","0.67K","2.95%"
"10/31/2025","475.20","475.50","478.00","470.10","0.28K","-0.36%"
"10/30/2025","476.90","476.75","478.15","468.00","0.28K","1.10%"
"10/29/2025","471.70","473.50","476.00","460.80","0.38K","0.16%"
"10/28/2025","470.95","467.50","473.45","456.75","0.72K","0.63%"
"10/27/2025","468.00","476.30","480.00","464.85","0.55K","-2.50%"
"10/24/2025","480.00","487.00","494.95","477.00","0.54K","-2.33%"
"10/23/2025","491.45","498.50","515.50","486.00","1.24K","-1.76%"
"10/22/2025","500.25","492.00","504.35","490.00","1.03K","1.79%"
"10/21/2025","491.45","481.95","493.00","480.00","0.63K","1.77%"
"10/20/2025","482.90","472.00","486.50","472.00","0.85K","1.29%"
"10/17/2025","476.75","473.00","479.65","465.05","0.45K","0.92%"
"10/16/2025","472.40","471.55","480.15","468.00","0.68K","0.15%"
"10/15/2025","471.70","479.25","494.70","464.75","1.01K","-1.28%"
"10/14/2025","477.80","460.40","480.70","460.40","0.93K","3.55%"
"10/13/2025","461.40","448.50","463.45","445.90","0.67K","2.64%"
"10/10/2025","449.55","454.00","459.95","445.85","0.53K","-1.07%"
"10/09/2025","454.40","459.00","462.00","453.00","0.33K","-1.51%"
"10/08/2025","461.35","451.50","462.75","443.50","0.91K","2.47%"
"10/07/2025","450.25","454.00","455.00","445.00","0.86K","-1.17%"
"10/06/2025","455.60","465.00","465.50","452.00","1.17K","-2.43%"
"10/03/2025","466.95","454.00","467.70","453.00","0.81K","2.89%"
"10/02/2025","453.85","462.00","464.90","450.20","0.55K","-1.34%"
"10/01/2025","460.00","450.40","461.35","449.00","0.66K","2.06%"
"09/30/2025","450.70","450.00","457.50","449.20","0.52K","0.21%"
"09/29/2025","449.75","453.20","459.25","447.50","0.65K","-0.27%"
"09/26/2025","450.95","443.50","453.50","443.25","0.50K","1.82%"
"09/25/2025","442.90","439.50","446.00","432.00","0.64K","0.76%"
"09/24/2025","439.55","426.65","440.45","426.50","0.77K","3.70%"
"09/23/2025","423.85","438.50","443.00","423.05","1.07K","-3.21%"
"09/22/2025","437.90","437.90","437.90","437.90","","0.30%"
"09/21/2025","436.60","436.60","436.60","436.60","","0.00%"
"09/20/2025","436.60","436.60","436.60","436.60","","0.00%"
"09/19/2025","436.60","436.60","436.60","436.60","","-4.75%"
"09/18/2025","458.35","458.35","458.35","458.35","","-0.77%"
"09/17/2025","461.90","461.90","461.90","461.90","","-8.81%"
"09/16/2025","506.50","506.50","506.50","506.50","","-6.27%"
"09/15/2025","540.40","501.00","501.00","501.00","0.03K","5.61%"
"09/12/2025","511.70","499.00","499.00","499.00","0.02K","2.81%"
"09/11/2025","497.70","505.75","505.75","500.00","0.01K","-0.25%"
"09/10/2025","498.95","498.95","498.95","498.95","","2.17%"
"09/09/2025","488.35","505.00","505.00","505.00","0.00K","-1.28%"
"09/08/2025","494.70","494.70","494.70","494.70","","3.37%"
"09/06/2025","478.55","478.75","478.55","478.55","0.05K","0.00%"
"09/05/2025","478.55","478.75","480.00","478.75","0.05K","-0.04%"
"09/04/2025","478.75","485.00","487.60","485.00","0.06K","0.14%"
"09/03/2025","478.10","485.50","485.50","485.00","0.04K","0.85%"
"09/02/2025","474.05","481.00","485.00","481.00","0.00K","-3.93%"
"09/01/2025","493.45","490.70","491.00","490.70","0.05K","0.00%"
"08/29/2025","493.45","481.05","498.00","481.05","0.03K","2.50%"
"08/28/2025","481.40","495.00","498.40","490.15","0.09K","-1.63%"
"08/27/2025","489.40","477.60","499.45","473.00","0.14K","2.71%"
"08/26/2025","476.50","489.60","489.60","476.00","0.17K","-2.26%"
"08/25/2025","487.50","488.50","499.50","484.00","0.21K","-0.19%"
"08/22/2025","488.45","469.05","493.05","469.05","0.12K","3.61%"
"08/21/2025","471.45","458.50","472.85","458.00","0.24K","2.69%"
"08/20/2025","459.10","454.00","463.20","453.00","0.29K","1.78%"
"08/19/2025","451.05","443.40","453.95","443.40","0.40K","2.73%"
"08/18/2025","439.05","434.45","440.90","427.00","0.28K","1.30%"
"08/15/2025","433.40","413.30","436.00","411.55","0.28K","4.25%"
"08/14/2025","415.75","408.00","417.70","403.65","0.28K","1.92%"
"08/13/2025","407.90","404.00","414.15","404.00","0.37K","1.57%"
"08/12/2025","401.60","403.50","407.05","395.15","0.41K","-1.21%"
"08/11/2025","406.50","386.45","409.20","370.70","0.52K","4.97%"
"08/08/2025","387.25","372.00","389.10","370.70","0.47K","3.53%"
"08/07/2025","374.05","368.70","374.35","368.50","0.19K","1.60%"
"08/06/2025","368.15","373.70","373.70","366.00","0.38K","-1.27%"
"08/05/2025","372.90","364.30","374.80","364.30","0.40K","3.01%"
"08/04/2025","362.00","360.00","368.05","358.00","0.27K","1.33%"
