date,usd_jpy
2016-05-26,122.8152
2016-05-27,109.1277
2016-05-28,121.1136
2016-05-29,142.9632
2016-05-30,124.4015
2016-05-31,146.9575
2016-06-01,106.468
2016-06-02,125.1348
2016-06-03,126.0864
2016-06-04,102.2684
2016-06-05,108.6105
2016-06-06,121.4021
2016-06-07,110.9943
2016-06-08,119.6239
2016-06-09,116.4771
2016-06-10,112.5764
2016-06-11,91.5243
2016-06-12,118.6023
2016-06-13,169.2209
2016-06-14,132.8165
2016-06-15,162.2269
2016-06-16,147.3285
2016-06-17,133.7846
2016-06-18,125.7172
2016-06-19,150.0897
2016-06-20,155.0137
2016-06-21,129.7633
2016-06-22,132.8461
2016-06-23,125.4878
2016-06-24,116.615
2016-06-25,90.5534
2016-06-26,123.2486
2016-06-27,155.485
2016-06-28,158.8802
2016-06-29,116.7734
2016-06-30,130.3423
2016-07-01,115.2543
2016-07-02,104.3753
2016-07-03,144.1678
2016-07-04,112.7855
2016-07-05,134.3503
2016-07-06,107.7511
2016-07-07,102.4697
2016-07-08,123.5731
2016-07-09,124.752
2016-07-10,155.7462
2016-07-11,121.5562
2016-07-12,95.1361
2016-07-13,112.8817
2016-07-14,116.855
2016-07-15,116.7879
2016-07-16,103.6707
2016-07-17,111.2596
2016-07-18,118.9001
2016-07-19,112.3756
2016-07-20,100.1996
2016-07-21,127.4285
2016-07-22,112.999
2016-07-23,162.608
2016-07-24,101.4389
2016-07-25,134.8572
2016-07-26,169.6855
2016-07-27,108.8444
2016-07-28,165.2622
2016-07-29,145.0137
2016-07-30,161.4831
2016-07-31,150.428
2016-08-01,96.6027
2016-08-02,104.056
2016-08-03,116.825
2016-08-04,112.367
2016-08-05,90.1657
2016-08-06,100.6086
2016-08-07,156.5455
2016-08-08,159.2225
2016-08-09,151.8223
2016-08-10,105.3207
2016-08-11,151.3402
2016-08-12,129.2939
2016-08-13,95.5924
2016-08-14,101.7685
2016-08-15,121.5043
2016-08-16,115.8632
2016-08-17,146.8666
2016-08-18,149.4944
2016-08-19,148.8526
2016-08-20,99.8723
2016-08-21,108.7157
2016-08-22,156.1767
2016-08-23,130.8481
2016-08-24,157.1252
2016-08-25,145.8684
2016-08-26,115.6575
2016-08-27,147.8206
2016-08-28,150.522
2016-08-29,141.7246
2016-08-30,105.9522
2016-08-31,165.4558
2016-09-01,121.9199
2016-09-02,112.5758
2016-09-03,144.0918
2016-09-04,153.8117
2016-09-05,165.7359
2016-09-06,96.4817
2016-09-07,101.4632
2016-09-08,110.2768
2016-09-09,139.3808
2016-09-10,128.7918
2016-09-11,109.2554
2016-09-12,111.8841
2016-09-13,130.1383
2016-09-14,107.6711
2016-09-15,126.5936
2016-09-16,95.5701
2016-09-17,162.0832
2016-09-18,130.6064
2016-09-19,93.2909
2016-09-20,90.494
2016-09-21,121.867
2016-09-22,101.2154
2016-09-23,166.6877
2016-09-24,143.4395
2016-09-25,143.6556
2016-09-26,166.0933
2016-09-27,118.4784
2016-09-28,112.7649
2016-09-29,145.1754
2016-09-30,122.7792
2016-10-01,151.2814
2016-10-02,118.262
2016-10-03,111.1692
2016-10-04,97.799
2016-10-05,107.9759
2016-10-06,142.9952
2016-10-07,102.4477
2016-10-08,164.7415
2016-10-09,140.3469
2016-10-10,115.0642
2016-10-11,130.0191
2016-10-12,110.5805
2016-10-13,106.2219
2016-10-14,91.9582
2016-10-15,96.3854
2016-10-16,119.5313
2016-10-17,100.2924
2016-10-18,159.6771
2016-10-19,157.1575
2016-10-20,160.5791
2016-10-21,105.0578
2016-10-22,151.5669
2016-10-23,122.4693
2016-10-24,98.2278
2016-10-25,98.5001
2016-10-26,128.1245
2016-10-27,163.7067
2016-10-28,158.9885
2016-10-29,99.8962
2016-10-30,142.336
2016-10-31,101.7587
2016-11-01,131.8929
2016-11-02,169.7398
2016-11-03,104.7532
2016-11-04,108.4417
2016-11-05,147.6714
2016-11-06,144.0869
2016-11-07,119.894
2016-11-08,153.5869
2016-11-09,98.6096
2016-11-10,124.4713
2016-11-11,124.3448
2016-11-12,119.2022
2016-11-13,93.9289
2016-11-14,141.8041
2016-11-15,142.896
2016-11-16,125.0333
2016-11-17,110.5525
2016-11-18,118.3878
