date,predicted_price
2016-05-26,277.35
2016-05-27,347.56
2016-05-28,383.11
2016-05-29,104.91
2016-05-30,253.15
2016-05-31,259.53
2016-06-01,369.5
2016-06-02,248.43
2016-06-03,281.23
2016-06-04,156.3
2016-06-05,122.46
2016-06-06,191.82
2016-06-07,167.8
2016-06-08,167.67
2016-06-09,357.47
2016-06-10,301.46
2016-06-11,164.48
2016-06-12,245.61
2016-06-13,144.18
2016-06-14,383.45
2016-06-15,311.17
2016-06-16,362.89
2016-06-17,396.86
2016-06-18,106.89
2016-06-19,298.06
2016-06-20,332.09
2016-06-21,325.85
2016-06-22,325.47
2016-06-23,289.74
2016-06-24,223.62
2016-06-25,319.97
2016-06-26,331.54
2016-06-27,293.33
2016-06-28,315.86
2016-06-29,121.74
2016-06-30,370.16
2016-07-01,191.04
2016-07-02,303.9
2016-07-03,336.48
2016-07-04,187.84
2016-07-05,150.6
2016-07-06,328.09
2016-07-07,212.41
2016-07-08,301.61
2016-07-09,313.66
2016-07-10,212.01
2016-07-11,259.57
2016-07-12,106.79
2016-07-13,106.56
2016-07-14,390.44
2016-07-15,323.91
2016-07-16,312.33
2016-07-17,258.74
2016-07-18,272.95
2016-07-19,318.11
2016-07-20,372.23
2016-07-21,214.72
2016-07-22,193.88
2016-07-23,111.75
2016-07-24,207.03
2016-07-25,378.44
2016-07-26,332.4
2016-07-27,190.54
2016-07-28,290.06
2016-07-29,344.99
2016-07-30,101.66
2016-07-31,388.45
2016-08-01,355.99
2016-08-02,100.62
2016-08-03,247.02
2016-08-04,317.94
2016-08-05,104.02
2016-08-06,179.23
2016-08-07,374.38
2016-08-08,393.33
2016-08-09,278.63
2016-08-10,235.48
2016-08-11,399.22
2016-08-12,163.05
2016-08-13,291.02
2016-08-14,379.34
2016-08-15,385.13
2016-08-16,142.8
2016-08-17,175.51
2016-08-18,124.77
2016-08-19,267.43
2016-08-20,326.48
2016-08-21,207.42
2016-08-22,129.5
2016-08-23,188.01
2016-08-24,353.15
2016-08-25,249.99
2016-08-26,106.7
2016-08-27,396.55
2016-08-28,151.62
2016-08-29,372.26
2016-08-30,356.38
2016-08-31,280.0
2016-09-01,115.21
2016-09-02,324.27
2016-09-03,265.29
2016-09-04,344.49
2016-09-05,384.7
2016-09-06,181.17
2016-09-07,340.42
2016-09-08,102.44
2016-09-09,293.25
2016-09-10,123.08
2016-09-11,167.72
2016-09-12,171.84
2016-09-13,304.16
2016-09-14,236.9
2016-09-15,212.85
2016-09-16,377.85
2016-09-17,122.12
2016-09-18,384.88
2016-09-19,241.74
2016-09-20,395.37
2016-09-21,295.11
2016-09-22,127.93
2016-09-23,174.06
2016-09-24,169.24
2016-09-25,373.04
2016-09-26,167.18
2016-09-27,213.71
2016-09-28,396.54
2016-09-29,326.77
2016-09-30,325.94
2016-10-01,171.33
2016-10-02,313.62
2016-10-03,231.88
2016-10-04,321.25
2016-10-05,368.97
2016-10-06,116.36
2016-10-07,397.82
2016-10-08,183.83
2016-10-09,333.69
2016-10-10,290.58
2016-10-11,118.85
2016-10-12,131.06
2016-10-13,392.1
2016-10-14,364.76
2016-10-15,242.25
2016-10-16,176.32
2016-10-17,233.87
2016-10-18,144.34
2016-10-19,124.1
2016-10-20,280.19
2016-10-21,106.29
2016-10-22,390.52
2016-10-23,259.15
2016-10-24,173.91
2016-10-25,350.84
2016-10-26,305.16
2016-10-27,347.1
2016-10-28,350.34
2016-10-29,345.72
2016-10-30,191.81
2016-10-31,381.26
2016-11-01,232.41
2016-11-02,195.67
2016-11-03,386.27
2016-11-04,374.2
2016-11-05,169.16
2016-11-06,110.57
2016-11-07,205.11
2016-11-08,186.03
2016-11-09,207.63
2016-11-10,233.85
2016-11-11,300.18
2016-11-12,320.49
2016-11-13,356.87
2016-11-14,384.94
2016-11-15,242.31
2016-11-16,106.68
2016-11-17,201.87
2016-11-18,142.98
2016-11-19,121.6
2016-11-20,190.8
2016-11-21,363.33
2016-11-22,238.78
2016-11-23,216.44
2016-11-24,104.32
2016-11-25,391.94
2016-11-26,279.73
2016-11-27,357.73
2016-11-28,204.12
2016-11-29,209.36
2016-11-30,388.92
2016-12-01,296.38
2016-12-02,143.12
2016-12-03,157.93
2016-12-04,284.34
2016-12-05,315.67
2016-12-06,187.4
2016-12-07,272.26
2016-12-08,226.77
2016-12-09,259.93
2016-12-10,333.34
2016-12-11,368.72
2016-12-12,349.89
2016-12-13,137.16
2016-12-14,332.19
2016-12-15,269.25
2016-12-16,168.54
2016-12-17,282.2
2016-12-18,204.31
2016-12-19,151.67
2016-12-20,171.26
2016-12-21,247.24
2016-12-22,166.12
2016-12-23,156.88
2016-12-24,320.59
2016-12-25,255.88
2016-12-26,394.57
2016-12-27,305.53
2016-12-28,151.4
2016-12-29,347.54
2016-12-30,374.84
2016-12-31,285.41
2017-01-01,174.82
2017-01-02,302.57
2017-01-03,386.03
2017-01-04,310.35
2017-01-05,282.81
2017-01-06,364.67
2017-01-07,335.34
2017-01-08,295.5
2017-01-09,326.86
2017-01-10,170.96
2017-01-11,132.85
2017-01-12,302.25
2017-01-13,213.42
2017-01-14,301.76
2017-01-15,114.78
2017-01-16,109.12
2017-01-17,224.48
2017-01-18,258.44
2017-01-19,359.45
2017-01-20,332.49
2017-01-21,122.29
2017-01-22,221.75
2017-01-23,295.44
2017-01-24,335.89
2017-01-25,153.31
2017-01-26,389.69
2017-01-27,151.86
2017-01-28,287.99
2017-01-29,147.17
2017-01-30,306.61
2017-01-31,146.77
2017-02-01,382.43
2017-02-02,143.12
2017-02-03,177.54
2017-02-04,175.72
2017-02-05,112.12
2017-02-06,142.21
2017-02-07,379.65
2017-02-08,399.63
2017-02-09,108.27
2017-02-10,266.44
2017-02-11,186.32
2017-02-12,295.88
2017-02-13,256.27
2017-02-14,127.72
2017-02-15,364.6
2017-02-16,211.28
2017-02-17,136.95
2017-02-18,295.58
2017-02-19,237.74
2017-02-20,348.09
2017-02-21,121.3
2017-02-22,326.41
2017-02-23,330.49
2017-02-24,386.69
2017-02-25,366.09
2017-02-26,311.52
2017-02-27,149.97
2017-02-28,305.8
2017-03-01,107.43
2017-03-02,241.54
2017-03-03,377.55
2017-03-04,355.77
2017-03-05,141.01
2017-03-06,304.42
2017-03-07,290.74
2017-03-08,272.02
2017-03-09,206.49
2017-03-10,241.83
2017-03-11,302.82
2017-03-12,307.92
2017-03-13,354.05
2017-03-14,220.48
2017-03-15,318.44
2017-03-16,353.35
2017-03-17,248.36
2017-03-18,296.55
2017-03-19,252.56
2017-03-20,216.07
2017-03-21,314.67
2017-03-22,372.56
2017-03-23,269.92
2017-03-24,281.27
2017-03-25,281.07
2017-03-26,216.9
2017-03-27,354.45
2017-03-28,321.85
2017-03-29,336.85
2017-03-30,204.92
2017-03-31,352.45
2017-04-01,380.03
2017-04-02,375.05
2017-04-03,335.98
2017-04-04,113.04
2017-04-05,355.1
2017-04-06,395.57
2017-04-07,249.86
2017-04-08,242.24
2017-04-09,335.72
2017-04-10,227.47
2017-04-11,231.01
2017-04-12,372.49
2017-04-13,193.07
2017-04-14,295.84
2017-04-15,308.68
2017-04-16,169.84
2017-04-17,253.88
2017-04-18,161.2
2017-04-19,341.29
2017-04-20,127.64
2017-04-21,297.02
2017-04-22,278.87
2017-04-23,202.21
