date,production_ton
2016-05-26,3575
2016-05-27,2501
2016-05-28,981
2016-05-29,2494
2016-05-30,2568
2016-05-31,3922
2016-06-01,4265
2016-06-02,1891
2016-06-03,2923
2016-06-04,963
2016-06-05,3685
2016-06-06,2583
2016-06-07,2017
2016-06-08,3023
2016-06-09,1966
2016-06-10,3606
2016-06-11,2800
2016-06-12,3850
2016-06-13,2946
2016-06-14,3940
2016-06-15,3930
2016-06-16,2298
2016-06-17,4308
2016-06-18,1621
2016-06-19,4090
2016-06-20,4310
2016-06-21,966
2016-06-22,3585
2016-06-23,3227
2016-06-24,1904
2016-06-25,4865
2016-06-26,2474
2016-06-27,2851
2016-06-28,1145
2016-06-29,4028
2016-06-30,2685
2016-07-01,4187
2016-07-02,4308
2016-07-03,1557
2016-07-04,1539
2016-07-05,4019
2016-07-06,3595
2016-07-07,651
2016-07-08,4232
2016-07-09,3256
2016-07-10,4417
2016-07-11,1543
2016-07-12,2540
2016-07-13,3220
2016-07-14,1347
2016-07-15,1062
2016-07-16,736
2016-07-17,3221
2016-07-18,2281
2016-07-19,3854
2016-07-20,2871
2016-07-21,2129
2016-07-22,596
2016-07-23,3250
2016-07-24,3421
2016-07-25,4742
2016-07-26,2894
2016-07-27,1533
2016-07-28,3453
2016-07-29,3354
2016-07-30,2519
2016-07-31,3311
2016-08-01,4816
2016-08-02,1942
2016-08-03,4791
2016-08-04,4347
2016-08-05,3485
2016-08-06,4817
2016-08-07,3964
2016-08-08,1655
2016-08-09,4439
2016-08-10,2875
2016-08-11,1109
2016-08-12,654
2016-08-13,2998
2016-08-14,2761
2016-08-15,846
2016-08-16,1122
2016-08-17,2764
2016-08-18,2881
2016-08-19,4797
2016-08-20,3893
2016-08-21,3723
2016-08-22,3058
2016-08-23,2975
2016-08-24,1080
2016-08-25,3131
2016-08-26,3872
2016-08-27,605
2016-08-28,4140
2016-08-29,2493
2016-08-30,3792
2016-08-31,2758
2016-09-01,4830
2016-09-02,2431
2016-09-03,2133
2016-09-04,2644
2016-09-05,4545
2016-09-06,995
2016-09-07,2096
2016-09-08,2463
2016-09-09,2291
2016-09-10,4134
2016-09-11,1419
2016-09-12,4768
2016-09-13,4297
2016-09-14,2121
2016-09-15,3555
2016-09-16,4267
2016-09-17,876
2016-09-18,4561
2016-09-19,2119
2016-09-20,3644
2016-09-21,2360
2016-09-22,1954
2016-09-23,941
2016-09-24,2445
2016-09-25,3216
2016-09-26,4690
2016-09-27,2681
2016-09-28,1733
2016-09-29,3228
2016-09-30,1141
2016-10-01,4548
2016-10-02,2448
2016-10-03,4053
2016-10-04,1357
2016-10-05,1277
2016-10-06,2391
