date,rainfall_mm
2016-05-26,28.8
2016-05-27,73.9
2016-05-28,26.0
2016-05-29,99.3
2016-05-30,45.8
2016-05-31,59.7
2016-06-01,32.7
2016-06-02,11.8
2016-06-03,67.3
2016-06-04,51.5
2016-06-05,24.7
2016-06-06,13.8
2016-06-07,73.6
2016-06-08,1.3
2016-06-09,59.1
2016-06-10,16.7
2016-06-11,31.9
2016-06-12,79.0
2016-06-13,71.3
2016-06-14,46.2
2016-06-15,94.2
2016-06-16,44.4
2016-06-17,67.7
2016-06-18,60.6
2016-06-19,38.6
2016-06-20,92.7
2016-06-21,103.9
2016-06-22,27.5
2016-06-23,60.3
2016-06-24,87.0
2016-06-25,79.4
2016-06-26,21.6
2016-06-27,9.2
2016-06-28,61.9
2016-06-29,22.2
2016-06-30,103.4
2016-07-01,105.7
2016-07-02,108.1
2016-07-03,25.7
2016-07-04,112.2
2016-07-05,99.2
2016-07-06,100.7
2016-07-07,91.4
2016-07-08,52.2
2016-07-09,37.9
2016-07-10,48.2
2016-07-11,116.1
2016-07-12,26.0
2016-07-13,3.5
2016-07-14,116.1
2016-07-15,14.3
2016-07-16,48.4
2016-07-17,57.0
2016-07-18,55.6
2016-07-19,20.7
2016-07-20,74.1
2016-07-21,99.7
2016-07-22,63.5
2016-07-23,16.5
2016-07-24,68.3
2016-07-25,60.3
2016-07-26,76.4
2016-07-27,86.4
2016-07-28,79.0
2016-07-29,36.4
2016-07-30,0.5
2016-07-31,16.1
2016-08-01,67.4
2016-08-02,30.6
2016-08-03,116.1
2016-08-04,42.0
2016-08-05,80.8
2016-08-06,81.3
2016-08-07,55.9
2016-08-08,118.2
2016-08-09,23.8
2016-08-10,17.5
2016-08-11,22.3
2016-08-12,93.9
2016-08-13,43.0
2016-08-14,2.7
2016-08-15,15.7
2016-08-16,78.4
2016-08-17,63.2
2016-08-18,53.8
2016-08-19,16.9
2016-08-20,82.1
2016-08-21,6.8
2016-08-22,96.6
2016-08-23,11.7
2016-08-24,6.8
2016-08-25,90.4
2016-08-26,55.4
2016-08-27,110.3
2016-08-28,89.4
2016-08-29,39.4
2016-08-30,35.2
2016-08-31,64.0
2016-09-01,3.6
2016-09-02,69.3
2016-09-03,76.7
2016-09-04,62.7
2016-09-05,87.8
2016-09-06,12.1
2016-09-07,119.5
2016-09-08,80.0
2016-09-09,7.0
2016-09-10,112.4
2016-09-11,38.0
2016-09-12,31.9
2016-09-13,106.6
2016-09-14,75.6
2016-09-15,49.0
2016-09-16,28.8
2016-09-17,111.9
2016-09-18,81.8
2016-09-19,109.3
2016-09-20,73.8
2016-09-21,65.0
2016-09-22,83.0
2016-09-23,87.5
2016-09-24,81.2
2016-09-25,43.1
2016-09-26,67.4
2016-09-27,71.9
2016-09-28,92.5
2016-09-29,110.7
2016-09-30,93.5
2016-10-01,55.7
2016-10-02,98.0
2016-10-03,108.9
2016-10-04,40.0
2016-10-05,56.2
2016-10-06,82.0
2016-10-07,8.3
2016-10-08,58.5
2016-10-09,96.1
2016-10-10,39.0
2016-10-11,13.7
2016-10-12,40.6
2016-10-13,118.9
2016-10-14,5.1
2016-10-15,42.8
2016-10-16,68.5
2016-10-17,37.4
2016-10-18,15.2
2016-10-19,53.7
2016-10-20,15.9
2016-10-21,2.4
2016-10-22,86.4
2016-10-23,67.0
2016-10-24,20.5
2016-10-25,73.5
2016-10-26,5.7
2016-10-27,3.8
2016-10-28,96.7
2016-10-29,75.7
2016-10-30,14.3
2016-10-31,49.9
2016-11-01,63.1
2016-11-02,74.0
2016-11-03,47.4
2016-11-04,26.6
2016-11-05,114.0
2016-11-06,18.1
2016-11-07,69.6
2016-11-08,110.7
2016-11-09,97.1
2016-11-10,117.0
2016-11-11,103.1
2016-11-12,41.6
2016-11-13,54.9
2016-11-14,51.3
2016-11-15,64.2
2016-11-16,33.0
2016-11-17,59.7
2016-11-18,15.0
2016-11-19,54.8
2016-11-20,115.0
2016-11-21,39.9
2016-11-22,85.8
2016-11-23,33.0
2016-11-24,46.9
2016-11-25,20.0
2016-11-26,58.9
2016-11-27,17.0
2016-11-28,93.6
2016-11-29,31.2
2016-11-30,59.7
2016-12-01,54.1
2016-12-02,111.0
2016-12-03,54.8
2016-12-04,37.6
2016-12-05,98.0
2016-12-06,57.2
2016-12-07,79.6
2016-12-08,19.1
2016-12-09,79.3
2016-12-10,37.4
2016-12-11,91.3
2016-12-12,114.5
2016-12-13,34.1
2016-12-14,106.9
2016-12-15,115.0
2016-12-16,71.3
2016-12-17,43.1
2016-12-18,98.7
2016-12-19,76.2
2016-12-20,26.2
2016-12-21,94.0
2016-12-22,81.8
2016-12-23,32.4
2016-12-24,47.1
2016-12-25,53.9
2016-12-26,100.8
2016-12-27,55.7
2016-12-28,18.1
2016-12-29,95.7
2016-12-30,46.0
2016-12-31,114.2
2017-01-01,11.1
2017-01-02,76.1
2017-01-03,58.8
2017-01-04,83.8
2017-01-05,84.9
2017-01-06,40.3
2017-01-07,26.7
2017-01-08,66.0
2017-01-09,63.9
2017-01-10,70.5
2017-01-11,57.6
2017-01-12,61.2
2017-01-13,56.8
2017-01-14,81.1
2017-01-15,83.7
2017-01-16,0.7
2017-01-17,84.5
2017-01-18,30.4
2017-01-19,89.1
2017-01-20,58.4
2017-01-21,93.5
2017-01-22,0.2
2017-01-23,89.8
2017-01-24,1.5
2017-01-25,93.5
2017-01-26,27.7
2017-01-27,12.6
2017-01-28,100.2
2017-01-29,84.5
2017-01-30,8.6
2017-01-31,113.4
2017-02-01,73.2
2017-02-02,63.2
2017-02-03,9.6
2017-02-04,85.9
2017-02-05,103.2
2017-02-06,98.6
2017-02-07,63.5
2017-02-08,32.5
2017-02-09,36.0
2017-02-10,31.7
2017-02-11,83.1
2017-02-12,117.8
2017-02-13,64.8
2017-02-14,58.2
2017-02-15,35.4
2017-02-16,49.6
2017-02-17,33.6
2017-02-18,23.7
2017-02-19,38.0
2017-02-20,47.9
2017-02-21,8.9
2017-02-22,49.7
2017-02-23,22.9
2017-02-24,85.9
2017-02-25,34.4
2017-02-26,58.3
2017-02-27,90.9
2017-02-28,74.8
2017-03-01,31.5
2017-03-02,84.5
2017-03-03,31.8
2017-03-04,8.2
2017-03-05,66.2
2017-03-06,102.7
2017-03-07,82.7
2017-03-08,6.1
2017-03-09,63.2
2017-03-10,55.5
2017-03-11,62.7
2017-03-12,111.3
2017-03-13,88.8
2017-03-14,34.5
2017-03-15,25.2
2017-03-16,18.8
2017-03-17,52.9
2017-03-18,20.4
2017-03-19,36.3
2017-03-20,111.8
2017-03-21,6.3
2017-03-22,105.0
2017-03-23,73.5
2017-03-24,41.6
2017-03-25,33.7
2017-03-26,38.4
2017-03-27,39.8
2017-03-28,1.8
2017-03-29,91.8
2017-03-30,61.9
2017-03-31,27.0
2017-04-01,31.7
2017-04-02,76.3
2017-04-03,53.3
2017-04-04,114.0
2017-04-05,71.1
2017-04-06,88.0
2017-04-07,81.9
2017-04-08,52.2
2017-04-09,80.9
2017-04-10,47.3
2017-04-11,59.0
2017-04-12,38.0
2017-04-13,44.1
2017-04-14,80.1
2017-04-15,35.3
2017-04-16,20.2
2017-04-17,64.4
2017-04-18,19.7
2017-04-19,118.3
2017-04-20,44.9
2017-04-21,14.5
2017-04-22,6.8
2017-04-23,47.9
2017-04-24,15.4
2017-04-25,29.1
2017-04-26,84.8
2017-04-27,14.2
2017-04-28,80.1
2017-04-29,31.0
2017-04-30,107.9
2017-05-01,50.3
2017-05-02,90.1
2017-05-03,34.7
2017-05-04,16.0
2017-05-05,8.4
2017-05-06,82.6
2017-05-07,79.3
2017-05-08,53.3
2017-05-09,42.1
2017-05-10,13.3
2017-05-11,42.7
2017-05-12,75.1
2017-05-13,90.4
2017-05-14,84.6
2017-05-15,47.6
2017-05-16,58.1
2017-05-17,24.7
2017-05-18,52.5
2017-05-19,106.0
2017-05-20,90.1
2017-05-21,99.5
2017-05-22,110.9
2017-05-23,62.6
2017-05-24,57.2
2017-05-25,96.1
2017-05-26,72.5
2017-05-27,77.8
2017-05-28,90.0
2017-05-29,3.4
2017-05-30,47.8
2017-05-31,80.7
2017-06-01,95.6
2017-06-02,67.2
2017-06-03,103.9
2017-06-04,65.0
2017-06-05,90.7
2017-06-06,21.3
2017-06-07,110.1
2017-06-08,86.3
2017-06-09,115.0
2017-06-10,60.8
2017-06-11,14.0
2017-06-12,76.1
2017-06-13,118.9
2017-06-14,1.8
2017-06-15,117.8
2017-06-16,34.9
2017-06-17,71.2
2017-06-18,3.0
2017-06-19,48.8
2017-06-20,77.0
2017-06-21,54.6
2017-06-22,78.5
2017-06-23,69.3
2017-06-24,70.4
2017-06-25,4.3
2017-06-26,15.6
2017-06-27,113.9
2017-06-28,100.4
2017-06-29,67.8
2017-06-30,110.5
2017-07-01,86.0
2017-07-02,91.2
2017-07-03,24.5
2017-07-04,70.1
2017-07-05,85.9
2017-07-06,40.6
2017-07-07,104.2
2017-07-08,94.5
2017-07-09,98.5
2017-07-10,16.5
2017-07-11,39.8
2017-07-12,31.2
2017-07-13,51.8
2017-07-14,95.0
2017-07-15,17.1
2017-07-16,33.9
2017-07-17,63.0
2017-07-18,60.9
2017-07-19,92.3
2017-07-20,100.3
2017-07-21,108.0
2017-07-22,46.3
2017-07-23,98.5
2017-07-24,26.3
2017-07-25,73.8
2017-07-26,110.0
2017-07-27,12.9
2017-07-28,18.0
2017-07-29,36.9
2017-07-30,24.2
2017-07-31,98.4
2017-08-01,52.0
