,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFÉ ARÁBICA - BRASIL,,,,,,,,,,,,,,,,,,,,,,,,,,
SÉRIE HISTÓRICA DE ÁREA EM PRODUÇÃO,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFRAS 2008 A 2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Em hectares,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIDADE FEDERAÇÃO/REGIÃO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026 (¹)
NORTE,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ," 2,000.0 "," 2,000.0 "," 2,000.0 ",,,,
RO,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
AM,,,,,,,,,,,,,,,,,,,," 2,000.0 "," 2,000.0 "," 2,000.0 ",,,,
PA,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
NORDESTE,,,,,,,," 103,340.4 "," 103,461.0 "," 115,617.0 "," 113,894.5 "," 113,779.0 "," 110,332.2 "," 111,339.0 "," 103,450.0 "," 103,861.0 "," 94,871.0 "," 82,300.0 "," 60,335.0 "," 66,935.0 "," 58,310.0 "," 52,600.0 "," 54,980.0 "," 57,045.0 "," 56,245.0 "," 55,350.0 "
BA,,,,,,,," 103,340.4 "," 103,461.0 "," 115,617.0 "," 113,894.5 "," 113,779.0 "," 110,332.2 "," 111,339.0 "," 103,450.0 "," 103,861.0 "," 94,871.0 "," 82,300.0 "," 60,335.0 "," 66,935.0 "," 58,310.0 "," 52,600.0 "," 54,980.0 "," 57,045.0 "," 56,245.0 "," 55,350.0 "
Cerrado,,,,,,,, - ," 12,088.0 "," 12,273.0 "," 11,556.5 "," 12,918.0 "," 11,858.5 "," 11,973.0 "," 9,129.0 "," 11,328.0 "," 9,670.0 "," 11,300.0 "," 9,000.0 "," 8,600.0 "," 6,250.0 "," 6,500.0 "," 5,180.0 "," 5,200.0 "," 6,000.0 "," 6,500.0 "
Planalto,,,,,,,, - ," 91,373.0 "," 103,344.0 "," 102,338.0 "," 100,861.0 "," 98,473.7 "," 99,366.0 "," 94,321.0 "," 92,533.0 "," 85,201.0 "," 71,000.0 "," 51,335.0 "," 58,335.0 "," 52,060.0 "," 46,100.0 "," 49,800.0 "," 51,845.0 "," 50,245.0 "," 48,850.0 "
Atlântico,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - , - ,, - ,, - 
CENTRO-OESTE,,,,,,,," 1,425.0 "," 1,216.0 "," 1,216.0 "," 1,591.0 "," 6,456.0 "," 6,467.6 "," 6,271.8 "," 6,286.0 "," 5,696.6 "," 5,561.0 "," 5,950.0 "," 6,932.0 "," 6,135.0 "," 5,833.0 "," 6,193.0 "," 5,371.0 "," 5,972.0 "," 5,579.0 "," 6,031.0 "
MT,,,,,,,," 1,425.0 "," 1,216.0 "," 1,216.0 "," 1,591.0 ", 136.0 , 85.0 , 135.0 , 111.0 , 70.0 , 45.0 , 45.0 , - , - , - , - , - , - , - , - 
GO,,,,,,,, - , - , - , - ," 6,320.0 "," 6,382.6 "," 6,136.8 "," 6,175.0 "," 5,626.6 "," 5,516.0 "," 5,905.0 "," 6,932.0 "," 6,135.0 "," 5,833.0 "," 6,193.0 "," 5,371.0 "," 5,972.0 "," 5,579.0 "," 6,031.0 "
SUDESTE,,,,,,,," 1,443,169.9 "," 1,363,279.0 "," 1,352,034.0 "," 1,339,872.0 "," 1,371,518.0 "," 1,370,458.5 "," 1,344,197.0 "," 1,317,124.3 "," 1,361,031.0 "," 1,331,556.0 "," 1,366,798.0 "," 1,339,448.0 "," 1,402,066.4 "," 1,330,771.5 "," 1,361,617.4 "," 1,396,952.0 "," 1,417,654.0 "," 1,396,798.0 "," 1,457,985.0 "
MG,,,,,,,," 1,046,416.0 "," 983,284.0 "," 992,027.0 "," 985,668.0 "," 1,013,134.0 "," 1,024,811.0 "," 981,610.0 "," 955,497.0 "," 996,749.0 "," 967,751.0 "," 995,584.0 "," 974,269.0 "," 1,032,280.4 "," 970,934.0 "," 1,008,048.0 "," 1,073,368.0 "," 1,091,647.0 "," 1,066,783.0 "," 1,122,043.0 "
Sul e Centro-Oeste,,,,,,,," 551,471.0 "," 506,468.0 "," 509,687.0 "," 505,201.0 "," 518,082.0 "," 521,187.0 "," 501,214.0 "," 478,056.0 "," 524,220.0 "," 496,493.0 "," 514,193.0 "," 496,613.4 "," 538,393.8 "," 491,785.0 "," 496,684.0 "," 533,271.0 "," 547,083.0 "," 521,815.0 "," 542,410.0 "
"Triângulo, Alto Paranaiba e Noroeste",,,,,,,," 158,753.0 "," 159,042.0 "," 162,217.0 "," 161,105.0 "," 168,463.0 "," 169,415.0 "," 174,369.0 "," 170,634.0 "," 183,076.0 "," 169,867.0 "," 189,183.0 "," 185,688.2 "," 193,826.6 "," 189,604.0 "," 181,703.0 "," 199,471.0 "," 195,258.0 "," 195,941.0 "," 219,461.0 "
"Zona da Mata, Rio Doce e Central",,,,,,,," 336,192.0 "," 317,774.0 "," 320,123.0 "," 319,362.0 "," 326,589.0 "," 301,152.0 "," 275,827.0 "," 278,646.0 "," 261,317.0 "," 273,448.0 "," 270,354.0 "," 270,373.0 "," 278,170.0 "," 266,368.0 "," 306,351.0 "," 315,548.0 "," 324,934.0 "," 319,734.0 "," 329,943.0 "
"Norte, Jequitinhonha e Mucuri",,,,,,,, - , - , - , - , - ," 33,057.0 "," 30,200.0 "," 28,161.0 "," 28,136.0 "," 27,943.0 "," 21,854.0 "," 21,594.4 "," 21,890.0 "," 23,177.0 "," 23,310.0 "," 25,078.0 "," 24,372.0 "," 29,293.0 "," 30,229.0 "
ES,,,,,,,," 195,375.0 "," 184,748.0 "," 181,367.0 "," 172,445.0 "," 170,022.0 "," 170,043.0 "," 150,118.0 "," 150,118.0 "," 150,025.0 "," 150,123.0 "," 156,603.0 "," 152,097.0 "," 156,294.0 "," 151,584.0 "," 143,305.0 "," 130,839.0 "," 128,363.0 "," 121,611.0 "," 127,538.0 "
