latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-23.514938,-46.610504,745.0,0,GMT,GMT

time,weather_code (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h)
2016-04-21,1,24.9,0.00,17.6
2016-04-22,3,24.1,0.00,15.0
2016-04-23,3,24.2,0.00,14.1
2016-04-24,3,25.0,0.00,14.8
2016-04-25,3,25.4,0.00,22.9
2016-04-26,51,23.9,0.10,24.9
2016-04-27,63,18.6,22.20,27.0
2016-04-28,51,15.4,0.30,17.2
2016-04-29,3,14.4,0.00,15.7
2016-04-30,3,16.3,0.00,14.0
2016-05-01,3,14.3,0.00,12.5
2016-05-02,3,14.4,0.00,13.4
2016-05-03,3,16.9,0.00,14.0
2016-05-04,3,17.5,0.00,13.9
2016-05-05,3,17.7,0.00,11.7
2016-05-06,3,18.8,0.00,14.2
2016-05-07,53,18.7,2.20,10.9
2016-05-08,51,19.3,0.20,10.5
2016-05-09,53,20.5,1.00,9.7
2016-05-10,61,19.9,5.40,21.7
2016-05-11,51,18.9,1.40,12.3
2016-05-12,51,17.7,0.80,16.3
2016-05-13,51,16.7,0.20,15.1
2016-05-14,3,16.5,0.00,17.7
2016-05-15,3,18.1,0.00,21.3
2016-05-16,63,20.7,7.80,33.1
2016-05-17,61,18.8,9.50,13.5
2016-05-18,61,16.2,7.40,11.8
2016-05-19,51,15.2,1.30,14.9
2016-05-20,3,17.3,0.00,16.3
2016-05-21,61,19.6,5.90,26.0
2016-05-22,61,19.7,1.80,20.4
2016-05-23,61,16.8,9.10,18.3
2016-05-24,51,12.9,0.30,19.3
2016-05-25,3,14.8,0.00,15.9
2016-05-26,3,16.9,0.00,11.8
2016-05-27,3,16.9,0.00,13.5
2016-05-28,3,17.1,0.00,15.5
2016-05-29,53,17.3,1.50,19.2
2016-05-30,55,17.0,1.90,17.6
2016-05-31,61,17.9,6.10,22.1
2016-06-01,55,18.1,4.30,13.4
2016-06-02,53,18.4,5.20,23.5
2016-06-03,63,17.4,10.10,15.0
2016-06-04,53,17.9,2.40,14.1
2016-06-05,61,18.3,13.60,22.7
2016-06-06,61,19.6,12.30,23.1
2016-06-07,65,14.8,44.10,18.8
2016-06-08,3,14.3,0.00,5.8
2016-06-09,3,11.5,0.00,10.5
2016-06-10,3,11.0,0.00,9.9
2016-06-11,3,9.8,0.00,8.5
2016-06-12,3,8.5,0.00,11.3
2016-06-13,3,7.8,0.00,18.7
2016-06-14,1,10.9,0.00,15.1
2016-06-15,3,12.8,0.00,8.0
2016-06-16,3,14.8,0.00,5.2
2016-06-17,0,17.2,0.00,13.0
2016-06-18,3,15.4,0.00,13.8
2016-06-19,3,15.5,0.00,12.5
2016-06-20,3,14.0,0.00,17.9
2016-06-21,3,12.8,0.00,19.8
2016-06-22,61,15.0,2.60,20.1
2016-06-23,63,15.6,16.80,13.5
2016-06-24,3,13.7,0.00,15.0
2016-06-25,3,14.4,0.00,14.6
2016-06-26,3,15.1,0.00,12.7
2016-06-27,3,15.2,0.00,10.2
2016-06-28,3,15.7,0.00,9.2
2016-06-29,3,16.5,0.00,8.7
2016-06-30,3,16.6,0.00,10.2
2016-07-01,3,17.0,0.00,10.9
2016-07-02,3,18.2,0.00,9.7
2016-07-03,3,18.7,0.00,8.7
2016-07-04,3,18.5,0.00,8.2
2016-07-05,3,18.1,0.00,13.2
2016-07-06,3,19.3,0.00,27.1
2016-07-07,51,16.3,0.20,15.1
2016-07-08,3,12.5,0.00,11.0
2016-07-09,3,14.5,0.00,11.3
2016-07-10,3,17.2,0.00,14.8
2016-07-11,0,19.9,0.00,20.6
2016-07-12,0,20.3,0.00,19.5
2016-07-13,3,19.1,0.00,11.2
2016-07-14,3,20.0,0.00,18.2
2016-07-15,2,20.4,0.00,22.5
2016-07-16,63,19.4,6.50,25.3
2016-07-17,53,13.4,1.00,14.1
2016-07-18,3,10.0,0.00,13.5
2016-07-19,3,10.2,0.00,11.5
2016-07-20,3,11.5,0.00,13.1
2016-07-21,3,11.5,0.00,12.2
2016-07-22,3,12.1,0.00,15.7
2016-07-23,3,14.7,0.00,15.2
2016-07-24,1,18.1,0.00,14.5
2016-07-25,3,17.2,0.00,12.1
2016-07-26,3,19.0,0.00,21.1
2016-07-27,2,19.0,0.00,17.2
2016-07-28,2,12.9,0.00,17.6
2016-07-29,3,13.7,0.00,18.0
2016-07-30,3,16.7,0.00,15.6
2016-07-31,3,17.8,0.00,11.8
2016-08-01,3,18.8,0.00,20.8
2016-08-02,3,16.1,0.00,17.9
2016-08-03,3,15.9,0.00,16.0
2016-08-04,3,17.7,0.00,15.2
2016-08-05,3,19.5,0.00,9.8
2016-08-06,3,20.8,0.00,20.1
2016-08-07,3,20.1,0.00,15.9
2016-08-08,3,15.8,0.00,16.8
2016-08-09,3,17.9,0.00,14.5
2016-08-10,53,15.5,2.20,16.2
2016-08-11,3,11.9,0.00,17.4
2016-08-12,3,13.5,0.00,14.5
2016-08-13,2,15.7,0.00,11.3
2016-08-14,1,19.2,0.00,14.7
2016-08-15,53,20.1,1.10,22.7
2016-08-16,51,19.0,0.20,17.5
2016-08-17,1,21.1,0.00,24.0
2016-08-18,51,18.9,0.60,23.1
2016-08-19,3,19.5,0.00,20.6
2016-08-20,61,19.9,12.80,17.7
2016-08-21,65,16.2,56.20,32.1
2016-08-22,51,11.0,0.30,20.5
2016-08-23,3,12.5,0.00,15.5
2016-08-24,3,15.3,0.00,16.8
2016-08-25,3,17.5,0.00,11.6
2016-08-26,3,17.9,0.00,8.4
2016-08-27,3,18.8,0.00,10.9
2016-08-28,0,20.5,0.00,17.7
2016-08-29,3,21.9,0.00,10.0
2016-08-30,3,21.3,0.00,12.4
2016-08-31,61,18.6,8.20,17.6
2016-09-01,3,16.9,0.00,17.7
2016-09-02,3,17.5,0.00,18.1
2016-09-03,51,19.4,1.00,16.3
2016-09-04,51,20.0,0.30,14.7
2016-09-05,51,19.4,0.40,13.0
2016-09-06,63,18.8,18.70,28.2
2016-09-07,51,18.0,1.30,23.1
2016-09-08,3,16.2,0.00,10.2
2016-09-09,51,15.9,0.10,18.4
2016-09-10,3,18.3,0.00,16.3
2016-09-11,3,20.1,0.00,13.4
2016-09-12,3,22.5,0.00,17.1
2016-09-13,3,24.2,0.00,30.5
2016-09-14,3,22.4,0.00,17.0
2016-09-15,1,17.3,0.00,16.6
2016-09-16,51,15.2,0.20,19.1
2016-09-17,51,18.9,0.10,15.3
2016-09-18,3,22.5,0.00,20.2
2016-09-19,61,20.6,1.80,15.4
2016-09-20,51,15.3,1.70,16.5
2016-09-21,3,14.4,0.00,21.7
2016-09-22,3,16.1,0.00,19.7
2016-09-23,3,18.7,0.00,17.7
2016-09-24,3,17.5,0.00,18.3
2016-09-25,53,15.9,3.20,19.9
2016-09-26,3,15.4,0.00,16.7
2016-09-27,3,15.3,0.00,19.1
2016-09-28,2,17.3,0.00,15.1
2016-09-29,3,17.9,0.00,23.0
2016-09-30,3,16.1,0.00,22.1
2016-10-01,3,15.3,0.00,22.5
2016-10-02,3,17.1,0.00,20.4
2016-10-03,63,17.0,22.40,17.1
2016-10-04,55,17.4,6.50,15.0
2016-10-05,3,16.5,0.00,18.0
2016-10-06,63,16.7,8.00,20.3
2016-10-07,51,15.2,1.10,15.1
2016-10-08,3,17.6,0.00,10.7
2016-10-09,3,17.3,0.00,20.0
2016-10-10,3,16.9,0.00,20.9
2016-10-11,61,18.3,1.50,19.1
2016-10-12,51,20.1,0.50,15.8
2016-10-13,63,22.3,12.80,21.9
2016-10-14,63,21.7,17.70,18.5
2016-10-15,61,21.5,7.50,11.2
2016-10-16,3,24.1,0.00,12.9
2016-10-17,3,25.3,0.00,13.3
2016-10-18,51,24.7,0.30,14.0
2016-10-19,51,25.6,0.10,12.6
2016-10-20,63,25.1,11.00,16.3
2016-10-21,53,21.1,3.50,18.8
2016-10-22,3,18.2,0.00,20.9
2016-10-23,3,19.7,0.00,18.5
2016-10-24,65,21.1,18.80,14.5
2016-10-25,63,20.4,22.80,12.6
2016-10-26,63,22.4,3.90,11.8
2016-10-27,63,22.0,7.90,32.6
2016-10-28,3,17.3,0.00,21.9
2016-10-29,3,14.6,0.00,22.0
2016-10-30,3,16.8,0.00,21.2
2016-10-31,55,19.3,1.50,18.8
2016-11-01,51,22.2,0.30,18.0
2016-11-02,53,23.1,1.80,23.0
2016-11-03,63,19.2,29.60,16.1
2016-11-04,53,17.3,2.80,16.1
2016-11-05,3,17.5,0.00,18.7
2016-11-06,63,19.1,5.50,14.2
2016-11-07,61,19.7,5.40,12.7
2016-11-08,51,20.2,0.80,12.3
2016-11-09,63,22.0,17.10,17.4
2016-11-10,53,22.5,3.60,19.1
2016-11-11,55,22.9,2.10,14.4
2016-11-12,63,18.8,26.30,21.0
2016-11-13,55,17.5,16.90,17.4
2016-11-14,61,18.3,15.70,18.1
2016-11-15,51,19.6,0.90,15.0
2016-11-16,63,20.9,4.50,16.9
2016-11-17,61,21.8,2.60,12.1
2016-11-18,61,17.4,6.40,21.7
2016-11-19,3,14.9,0.00,21.3
2016-11-20,3,15.8,0.00,17.4
2016-11-21,3,18.8,0.00,11.2
2016-11-22,51,19.7,0.40,17.1
2016-11-23,63,19.4,20.20,14.4
2016-11-24,51,20.4,1.70,15.8
2016-11-25,51,20.5,0.30,15.5
2016-11-26,51,21.7,0.50,13.7
2016-11-27,51,23.2,0.40,10.5
2016-11-28,63,24.1,8.30,15.1
2016-11-29,63,21.3,15.80,20.2
2016-11-30,51,16.7,0.10,22.1
2016-12-01,51,17.1,0.10,19.9
2016-12-02,51,19.7,0.40,14.3
2016-12-03,63,22.1,12.20,19.5
2016-12-04,53,22.0,3.90,26.5
2016-12-05,51,19.3,0.50,27.8
2016-12-06,0,20.7,0.00,10.3
2016-12-07,3,22.9,0.00,12.9
2016-12-08,63,23.6,6.30,15.5
2016-12-09,63,22.6,7.30,12.3
2016-12-10,61,23.0,4.80,14.1
2016-12-11,55,22.6,3.90,23.0
2016-12-12,63,21.9,18.10,12.0
2016-12-13,53,23.8,1.20,13.8
2016-12-14,53,21.8,3.70,20.7
2016-12-15,3,17.1,0.00,25.4
2016-12-16,3,17.4,0.00,20.3
2016-12-17,2,19.6,0.00,15.5
2016-12-18,61,21.1,2.40,12.6
2016-12-19,63,22.1,11.40,12.4
2016-12-20,53,22.3,1.10,16.2
2016-12-21,63,22.7,12.00,13.0
2016-12-22,61,23.4,3.90,16.3
2016-12-23,3,24.4,0.00,8.7
2016-12-24,55,24.5,2.90,14.5
2016-12-25,63,23.5,3.80,14.6
2016-12-26,1,25.6,0.00,9.7
2016-12-27,3,26.5,0.00,14.0
2016-12-28,61,26.1,3.30,14.7
2016-12-29,3,25.5,0.00,11.5
2016-12-30,3,25.7,0.00,15.5
2016-12-31,63,25.5,4.70,16.4
2017-01-01,55,24.8,2.00,21.3
2017-01-02,61,24.2,3.80,16.0
2017-01-03,63,23.0,6.30,15.2
2017-01-04,63,23.2,7.30,28.3
2017-01-05,53,24.8,1.00,19.0
2017-01-06,55,23.2,4.50,20.5
2017-01-07,63,22.6,8.70,19.0
2017-01-08,63,24.0,3.30,11.3
2017-01-09,63,24.2,5.00,14.3
2017-01-10,61,23.5,6.80,16.3
2017-01-11,63,23.1,11.40,14.6
2017-01-12,63,21.0,33.90,17.7
2017-01-13,63,21.2,11.40,16.1
2017-01-14,51,22.2,0.60,22.1
2017-01-15,53,22.9,1.20,13.2
2017-01-16,63,22.4,18.50,13.6
2017-01-17,63,21.5,26.30,21.8
2017-01-18,63,21.3,27.40,17.4
2017-01-19,63,20.8,23.20,16.1
2017-01-20,61,19.7,12.10,10.8
2017-01-21,63,19.5,33.30,12.0
2017-01-22,63,19.4,20.90,13.4
2017-01-23,63,20.7,11.10,10.5
2017-01-24,65,22.2,13.70,16.8
2017-01-25,63,23.1,5.50,23.9
2017-01-26,63,21.7,20.20,21.3
2017-01-27,63,21.5,12.30,15.3
2017-01-28,61,21.8,3.00,20.1
2017-01-29,51,22.5,1.20,19.5
2017-01-30,61,22.2,3.70,17.4
2017-01-31,61,21.9,4.50,14.9
